Site,Query_Seq_ID,Hit_Seq_ID,GTDBtk_taxonomy
DeMMO5,OTU_2541,DeMMO5_37-#2,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO3,OTU_2563,DeMMO3_7,D_0__Bacteria; D_1__Zixibacteria
DeMMO5,OTU_2569,DeMMO5_37-#2,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO2,OTU_2571,DeMMO2_48,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_258,DeMMO2_29,D_0__Bacteria; D_1__Patescibacteria
DeMMO6,OTU_2588,DeMMO6_38,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO4,OTU_2602,DeMMO4_5,D_0__Bacteria; D_1__Bacteroidetes; D_2__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriales; D_4__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriaceae; D_5__Ignavibacterium 
DeMMO1,OTU_2612,DeMMO1_11,D_0__Bacteria; D_1__Lentisphaerae
DeMMO3,OTU_262,DeMMO3_17,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO2,OTU_2623,DeMMO2_25,D_0__Bacteria; D_1__Patescibacteria
DeMMO5,OTU_263,DeMMO5_45,D_0__Bacteria; D_1__Patescibacteria
DeMMO3,OTU_2634,DeMMO3_11,D_0__Bacteria; D_1__Actinobacteria
DeMMO5,OTU_2673,DeMMO5_10,D_0__Bacteria; D_1__Eremiobacteria
DeMMO2,OTU_2678,DeMMO2_20,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO2,OTU_2708,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO3,OTU_271,DeMMO3_67,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO1,OTU_275,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO2,OTU_278,DeMMO2_33,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO3,OTU_2916,DeMMO3_7,D_0__Bacteria; D_1__Goldbacteria
DeMMO2,OTU_294,DeMMO2_27,D_0__Bacteria; D_1__Patescibacteria
