"","Site","Tube","Date.Deployed","Date.Collected","Mineral","Experiment","Type","Duration.days","Cell.density.sq.mm","cells.counted","X","X.1","X.2","Exp.Type","Date","Site.Date"
"60","D3","D","2017-11-27","17-Apr-18","hematite","mineral","exp",199,4131.502772,268,NA,NA,NA,"hematite.mineral","2017-11","D3.2017-11"
"61","D3","D","2017-11-27","17-Apr-18","hematite","control","Internal Control",199,2859.416595,185,NA,NA,NA,"hematite.control","2017-11","D3.2017-11"
"62","D3","E","2017-11-27","17-Apr-18","magnetite","mineral","exp",199,4652.348081,301,NA,NA,NA,"magnetite.mineral","2017-11","D3.2017-11"
"63","D3","E","2017-11-27","17-Apr-18","magnetite","control","Internal Control",199,NA,NA,NA,NA,NA,"magnetite.control","2017-11","D3.2017-11"
"64","D3","F","2017-11-27","17-Apr-18","sand","Control","Control",199,7388.114228,478,NA,NA,NA,"sand.control","2017-11","D3.2017-11"
"65","D3","F","2017-11-27","17-Apr-18","sand","control","Control Rep",199,2127.415748,132,NA,NA,NA,"sand.control","2017-11","D3.2017-11"
"66","D6","1","2017-02-14","10-May-17","pyrolusite","mineral","Exp",85,20811.67441,675,NA,NA,NA,"pyrolusite.mineral","2017-02","D6.2017-02"
"67","D6","1","2017-02-14","10-May-17","pyrolusite","mineral","Rep",85,47882.2672,1553,NA,NA,NA,"pyrolusite.mineral","2017-02","D6.2017-02"
"68","D6","1","2017-02-14","10-May-17","pyrolusite","control","internal Control",85,1165.993061,3.85,NA,NA,NA,"pyrolusite.control","2017-02","D6.2017-02"
"69","D6","2","2017-02-14","10-May-17","siderite","mineral","Exp",85,1834.510559,119,NA,NA,NA,"siderite.mineral","2017-02","D6.2017-02"
"70","D6","2","2017-02-14","10-May-17","siderite","mineral","Rep",85,10881.23937,352,NA,NA,NA,"siderite.mineral","2017-02","D6.2017-02"
"71","D6","2","2017-02-14","10-May-17","siderite","control","internal Control",85,15.41605512,1,NA,NA,NA,"siderite.control","2017-02","D6.2017-02"
"72","D6","3","2017-02-14","10-May-17","pyrite","mineral","Exp",85,10452.08537,678,NA,NA,NA,"pyrite.mineral","2017-02","D6.2017-02"
"73","D6","3","2017-02-14","10-May-17","pyrite","mineral","Rep",85,27656.40289,897,NA,NA,NA,"pyrite.mineral","2017-02","D6.2017-02"
"74","D6","3","2017-02-14","10-May-17","pyrite","control","internal Control",85,NA,NA,NA,NA,NA,"pyrite.control","2017-02","D6.2017-02"
"75","D6","4","2017-02-14","10-May-17","hematite","mineral","Exp",85,18314.27348,594,NA,NA,NA,"hematite.mineral","2017-02","D6.2017-02"
"76","D6","4","2017-02-14","10-May-17","hematite","mineral","Rep",85,5565.195899,361,NA,NA,NA,"hematite.mineral","2017-02","D6.2017-02"
"77","D6","4","2017-02-14","10-May-17","hematite","control","internal Control",85,NA,NA,NA,NA,NA,"hematite.control","2017-02","D6.2017-02"
"78","D6","5","2017-02-14","10-May-17","magnetite","mineral","Exp",85,12517.83676,406,NA,NA,NA,"magnetite.mineral","2017-02","D6.2017-02"
"79","D6","5","2017-02-14","10-May-17","magnetite","mineral","Rep",85,4439.823875,288,NA,NA,NA,"magnetite.mineral","2017-02","D6.2017-02"
"80","D6","5","2017-02-14","10-May-17","magnetite","control","internal Control",85,0,NA,NA,NA,NA,"magnetite.control","2017-02","D6.2017-02"
"81","D6","6","2017-02-14","10-May-17","sand","Control","Control",85,355.4950361,23,NA,NA,NA,"sand.control","2017-02","D6.2017-02"
"82","D6","6","2017-02-14","10-May-17","sand","control","Control Rep",85,5133.546355,333,NA,NA,NA,"sand.control","2017-02","D6.2017-02"
