sample_ids,clean_id,sample.number,site,sample.type,date,duration,experiment,experiment.type,site.experiment,site.type
56.DeMMO3.F.top.041718,56.D3.sand.041718,56,D3,sand,Apr.2018,,inert.control,inert.control,D3.inert.control,D3.inert.control
NU.20.DeMMO6.Steri.120815,20.D6.fluid.120815,20,D6,fluid,Dec.2015,,fluid,fluid,D6.fluid,D6.fluid
30.DuselB.050416,30.D6.fluid.050416,30,D6,fluid,May.2016,,fluid,fluid,D6.fluid,D6.fluid
NU.03.DeMMO6.Steri.2.092316,03.D6.fluid.092316,3,D6,fluid,Sep.2016,,fluid,fluid,D6.fluid,D6.fluid
NU.11.DeMMO6.Steri.2.120716,11.D6.fluid.120716,11,D6,fluid,Dec.2016,,fluid,fluid,D6.fluid,D6.fluid
5.DeMMO6.Steri.021415,5.D6.fluid.021415,5,D6,fluid,Feb.2015,,fluid,fluid,D6.fluid,D6.fluid
12.DeMMO6.Steri.2.051017,12.D6.fluid.051017,12,D6,fluid,May.2017,,fluid,fluid,D6.fluid,D6.fluid
6.DeMMO6.steri.082917,6.D6.fluid.082917,6,D6,fluid,Aug.2017,,fluid,fluid,D6.fluid,D6.fluid
6.DeMMO6.steri.112817,6.D6.fluid.112817,6,D6,fluid,Nov.2017,,fluid,fluid,D6.fluid,D6.fluid
17.DeMMO6.041618,17.D6.fluid.041618,17,D6,fluid,Apr.2018,,fluid,fluid,D6.fluid,D6.fluid
NU.36.DeMMO6.D1.wool.Sep2016,36.D6.wool.Sep2016,36,D6,wool,Sep.2016,52,inert.control,inert.control,D6.inert.control,D6.inert.control
NU.37.DeMMO6.D1.sand.Sep2016,37.D6.sand.Sep2016,37,D6,sand,Sep.2016,52,inert.control,inert.control,D6.inert.control,D6.inert.control
NU.38.DeMMO6.D1.3mmPyrex.Sep2016,38.D6.3mmPyrex.Sep2016,38,D6,3mmPyrex,Sep.2016,52,inert.control,inert.control,D6.inert.control,D6.inert.control
NU.39.DeMMO6.5mmPyrex.Sep2016,39.D6.5mmPyrex.Sep2016,39,D6,5mmPyrex,Sep.2016,52,inert.control,inert.control,D6.inert.control,D6.inert.control
13.DeMMO6.T1.top.051017,13.D6.pyrolusite.051017,13,D6,pyrolusite,May.2017,85,mineral,pyrolusite,D6.pyrolusite,D6.mineral
15.DeMMO6.T2.top.051017,15.D6.siderite.051017,15,D6,siderite,May.2017,85,mineral,siderite,D6.siderite,D6.mineral
17.DeMMO6.T3.top.051017,17.D6.pyrite.051017,17,D6,pyrite,May.2017,85,mineral,pyrite,D6.pyrite,D6.mineral
19.DeMMO6.T4.top.051017,19.D6.hematite.051017,19,D6,hematite,May.2017,85,mineral,hematite,D6.hematite,D6.mineral
21.DeMMO6.T5.top.051017,21.D6.magnetite.051017,21,D6,magnetite,May.2017,85,mineral,magnetite,D6.magnetite,D6.mineral
24.DeMMO6.T6.bottom.051017,24.D6.sand.051017,24,D6,sand,May.2017,85,inert.control,inert.control,D6.sand,D6.inert.control
34.4100L.DrillFluid.051716,34.4100L.DrillFluid.051716,34,ambient.control,DrillFluid,May.2016,,cont.control,cont.control,ambient.control,ambient.control
NU.48.800.D1.SlideBlank.Sep2016,48.800.SlideBlank.Sep2016,48,ambient.control,SlideBlank,Sep.2016,52,cont.control,cont.control,ambient.control,ambient.control
NU.54.4800.D1.SlideBlank.Sep2016,54.4800.SlideBlank.Sep2016,54,ambient.control,SlideBlank,Sep.2016,52,cont.control,cont.control,ambient.control,ambient.control
18.800.DitchFluid.041818,18.800.DitchFluid.041818,18,ambient.control,DitchFluid,Apr.2018,,cont.control,cont.control,ambient.control,ambient.control
