"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"411","fluid_inert.control",2.50973300700563e-05,"Elusimicrobia.Lineage IIc.Elusimicrobia bacterium RIFOXYA2_FULL_39_19.Elusimicrobia bacterium RIFOXYA2_FULL_39_19",0.073807789882741,0.241008935288835,"NA","3.91304347826087e-05","8.91328448531772e-05","0","0"
"412","fluid_inert.control",2.50973300709445e-05,"Firmicutes.Clostridia.Clostridiales.Family XI",0.867464738232831,0.908185333084486,"NA","3.04347826086957e-05","0.000106321906614239","1.17647058823529e-05","3.32105582077536e-05"
"413","fluid_inert.control",2.50973300700563e-05,"Patescibacteria.ABY1.Candidatus Buchananbacteria.Parcubacteria group bacterium GW2011_GWA2_38_13",0.0739577659790653,0.241008935288835,"NA","3.91304347826087e-05","0.000111759199071374","0","0"
"414","fluid_inert.control",2.50973300709445e-05,"Patescibacteria.ABY1.Candidatus Buchananbacteria.Other",0.0739577659790653,0.241008935288835,"NA","3.91304347826087e-05","9.8807114368361e-05","0","0"
"415","fluid_inert.control",2.50973300700563e-05,"Patescibacteria.Microgenomatia.Candidatus Beckwithbacteria.uncultured bacterium",0.0739577659790653,0.241008935288835,"NA","3.91304347826087e-05","9.8807114368361e-05","0","0"
"416","fluid_inert.control",2.50973300709445e-05,"Patescibacteria.Parcubacteria.Candidatus Nomurabacteria.uncultured bacterium",0.126653779532179,0.336050231101504,"NA","3.91304347826087e-05","0.000107615183259539","0","0"
"417","fluid_inert.control",2.50973300710555e-05,"Deltaproteobacteria.SAR324 clade(Marine group B).Other",0.126568439086827,0.336050231101504,"NA","3.91304347826087e-05","0.000146904825203205","0","0"
"418","fluid_inert.control",2.50973300699453e-05,"Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Rubritaleaceae",0.842768777546093,0.889638863161739,"NA","2.60869565217391e-05","6.88700443150182e-05","1.76470588235294e-05","3.92952623996688e-05"
"419","fluid_inert.control",2.50973300710555e-05,"Actinobacteria.Actinobacteria.PeM15.Other",0.389939573303625,0.610726577284184,"NA","3.91304347826087e-05","0.000187662972651367","0","0"
"420","fluid_inert.control",2.44411907219799e-05,"Chloroflexi.Other.Other.Other",0.148172386984898,0.37248341341472,"NA","4.34782608695652e-06","2.08514414057075e-05","3.52941176470588e-05","7.85905247993376e-05"
"421","fluid_inert.control",2.24727726779728e-05,"Actinobacteria.Thermoleophilia.Solirubrobacterales.67-14",0.799875370245905,0.856899634434961,"NA","1.30434782608696e-05","6.25543242171224e-05","2.35294117647059e-05","9.70142500145332e-05"
"422","fluid_inert.control",2.23087378400377e-05,"Diapherotrites.Iainarchaeia.Iainarchaeales.uncultured prokaryote",0.126653779532179,0.336050231101504,"NA","3.47826086956522e-05","0.000111227431427577","0","0"
"423","fluid_inert.control",2.23087378409259e-05,"Bacteroidetes.Bacteroidia.Sphingobacteriales.KD3-93",0.218049401423781,0.448769165551933,"NA","3.47826086956522e-05","0.000115241626208012","0","0"
"424","fluid_inert.control",2.23087378400377e-05,"Patescibacteria.ABY1.Candidatus Buchananbacteria.uncultured bacterium",0.0739577659790653,0.241008935288835,"NA","3.47826086956522e-05","9.34621734479391e-05","0","0"
"425","fluid_inert.control",2.23087378410369e-05,"Patescibacteria.Microgenomatia.Candidatus Amesbacteria.Microgenomates bacterium SCGC AAA011-B20",0.430505452999168,0.646985162624954,"NA","3.04347826086957e-05","9.26124996899135e-05","5.88235294117647e-06","2.42535625036333e-05"
"426","fluid_inert.control",2.23087378399267e-05,"Patescibacteria.Parcubacteria.Candidatus Zambryskibacteria.Other",0.0428720774988738,0.16192432883817,"NA","3.47826086956522e-05","7.14059817469728e-05","0","0"
"427","fluid_inert.control",2.23087378410369e-05,"Bacteroidetes.Bacteroidia.Cytophagales.Microscillaceae",0.126568439086827,0.336050231101504,"NA","3.47826086956522e-05","0.000126522350350995","0","0"
"428","fluid_inert.control",2.23087378400377e-05,"Patescibacteria.ABY1.Candidatus Magasanikbacteria.Candidatus Magasanikbacteria bacterium RIFOXYD2_FULL_36_9",0.218200767643049,0.448769165551933,"NA","3.47826086956522e-05","0.000130065352986223","0","0"
"429","fluid_inert.control",2.23087378409259e-05,"Patescibacteria.Gracilibacteria.Candidatus Peregrinibacteria.uncultured marine bacterium",0.0739577659790653,0.241008935288835,"NA","3.47826086956522e-05","8.31684798913076e-05","0","0"
"430","fluid_inert.control",2.11604939810428e-05,"Patescibacteria.WWE3.Other.Other",0.511220027859994,0.688830538579293,"NA","1.73913043478261e-05","4.91026190103531e-05","1.76470588235294e-05","7.27606875108999e-05"
"431","fluid_inert.control",2.00122501210487e-05,"Alphaproteobacteria.Rhizobiales.Pleomorphomonadaceae",0.799875370245905,0.856899634434961,"NA","8.69565217391304e-06","4.1702882811415e-05","2.35294117647059e-05","9.70142500145332e-05"
"432","fluid_inert.control",1.9848215285001e-05,"Firmicutes.Clostridia.Clostridiales.Christensenellaceae",0.317036889327659,0.563150196461698,"NA","2.17391304347826e-05","5.18434859512082e-05","1.17647058823529e-05","4.85071250072666e-05"
"433","fluid_inert.control",1.95201456099081e-05,"Alphaproteobacteria.Rickettsiales.AB1",0.389939573303625,0.610726577284184,"NA","3.04347826086957e-05","0.000145960089839952","0","0"
"434","fluid_inert.control",1.95201456110183e-05,"Nanoarchaeaeota.Woesearchaeia.Candidatus Diapherotrites archaeon ADurb.Bin253.Candidatus Diapherotrites archaeon ADurb.Bin253",0.0428720774988738,0.16192432883817,"NA","3.04347826086957e-05","6.34950435338042e-05","0","0"
"435","fluid_inert.control",1.95201456100191e-05,"Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae",0.430505452999168,0.646985162624954,"NA","2.60869565217391e-05","7.51809411556112e-05","5.88235294117647e-06","2.42535625036333e-05"
"436","fluid_inert.control",1.95201456110183e-05,"Actinobacteria.MB-A2-108.uncultured bacterium.uncultured bacterium",0.218200767643049,0.448769165551933,"NA","3.04347826086957e-05","0.000110514427724066","0","0"
"437","fluid_inert.control",1.95201456100191e-05,"Omnitrophicaeota.Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24.Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24.Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24",0.126568439086827,0.336050231101504,"NA","3.04347826086957e-05","0.000106321906614239","0","0"
"438","fluid_inert.control",1.95201456110183e-05,"Patescibacteria.Gracilibacteria.Candidatus Peribacteria.Other",0.126568439086827,0.336050231101504,"NA","3.04347826086957e-05","0.000106321906614239","0","0"
"439","fluid_inert.control",1.95201456099081e-05,"Patescibacteria.Microgenomatia.Candidatus Amesbacteria.Candidatus Amesbacteria bacterium GW2011_GWA2_42_12",0.218200767643049,0.448769165551933,"NA","3.04347826086957e-05","0.000101957132742129","0","0"
"440","fluid_inert.control",1.95201456110183e-05,"Patescibacteria.Microgenomatia.Candidatus Collierbacteria.groundwater metagenome",0.0739577659790653,0.241008935288835,"NA","3.04347826086957e-05","7.64840007553312e-05","0","0"
"441","fluid_inert.control",1.95201456100191e-05,"Patescibacteria.Microgenomatia.Candidatus Curtissbacteria.uncultured bacterium",0.126568439086827,0.336050231101504,"NA","3.04347826086957e-05","8.22124885928677e-05","0","0"
"442","fluid_inert.control",1.95201456100191e-05,"Patescibacteria.Microgenomatia.Candidatus Woesebacteria.uncultured bacterium",0.126653779532179,0.336050231101504,"NA","3.04347826086957e-05","9.26124996899135e-05","0","0"
"443","fluid_inert.control",1.95201456110183e-05,"Patescibacteria.Parcubacteria.Candidatus Kaiserbacteria.metagenome",0.126653779532179,0.336050231101504,"NA","3.04347826086957e-05","9.26124996899135e-05","0","0"
"444","fluid_inert.control",1.95201456099081e-05,"Gammaproteobacteria.Thiomicrospirales.Thiomicrospiraceae",0.740589653902662,0.833893723596799,"NA","1.73913043478261e-05","4.91026190103531e-05","1.76470588235294e-05","3.92952623996688e-05"
"445","fluid_inert.control",1.95201456110183e-05,"Verrucomicrobia.Verrucomicrobiae.Opitutales.Puniceicoccaceae",0.126568439086827,0.336050231101504,"NA","3.04347826086957e-05","8.22124885928677e-05","0","0"
